ticker,effective_date,era,era_lo,win_start,win_end,n_days_wide,car_eff,car_wide
MDLZ,2012-10-02,2010–2014,2010,2012-09-21,2012-10-03,9,0.0022183765245098463,0.009638329973112092
PNR,2012-10-01,2010–2014,2010,2012-09-20,2012-10-02,9,-0.005422807435446542,-0.013367184892700612
LYB,2012-09-05,2010–2014,2010,2012-08-24,2012-09-06,9,-0.02512288556540565,0.0036379012201052108
STX,2012-07-02,2010–2014,2010,2012-06-21,2012-07-03,9,0.04545759012035411,0.025053328718412815
MNST,2012-06-29,2010–2014,2010,2012-06-20,2012-07-02,9,0.028028105998710195,-0.020959781182236514
LRCX,2012-06-05,2010–2014,2010,2012-05-24,2012-06-06,9,0.02762212866881153,0.005559039591982562
KMI,2012-05-17,2010–2014,2010,2012-05-08,2012-05-18,9,0.003042753234513418,-0.022809919944056678
FOSL,2012-04-03,2010–2014,2010,2012-03-23,2012-04-04,9,0.019973353134231764,0.00012600818251495838
CCI,2012-03-13,2010–2014,2010,2012-03-02,2012-03-14,9,-0.053656182535315344,-0.022611036734111134
TRIP,2011-12-20,2010–2014,2010,2011-12-09,2011-12-21,9,-0.04469079709140089,0.03980368810622248
BWA,2011-12-16,2010–2014,2010,2011-12-07,2011-12-19,9,0.009168440839416703,-0.07687361994400288
PRGO,2011-12-16,2010–2014,2010,2011-12-07,2011-12-19,9,0.02844126908708322,0.014266176030085176
DLTR,2011-12-16,2010–2014,2010,2011-12-07,2011-12-19,9,0.008204216024058075,0.025218814354045938
CBE,2011-11-18,2010–2014,2010,2011-11-09,2011-11-21,9,0.046866701420202994,0.02977210535801844
XYL,2011-10-31,2010–2014,2010,2011-10-20,2011-11-01,9,0.1169814873690338,0.0915875493420023
TEL,2011-10-14,2010–2014,2010,2011-10-05,2011-10-17,9,0.036848513141078176,0.11723979693821773
MOS,2011-09-23,2010–2014,2010,2011-09-14,2011-09-26,9,-0.07392882180365734,-0.16779792624637957
ACN,2011-07-05,2010–2014,2010,2011-06-23,2011-07-06,9,0.012422107910358915,0.07722791559089548
CMG,2011-04-27,2010–2014,2010,2011-04-15,2011-04-28,9,-0.04393972553334258,-0.09534135259842746
BLK,2011-04-01,2010–2014,2010,2011-03-23,2011-04-04,9,0.007170460985063687,0.05478814401786691
EW,2011-03-31,2010–2014,2010,2011-03-22,2011-04-01,9,-0.03183173601764355,-0.043156990096915204
FFIV,2010-12-17,2010–2014,2010,2010-12-08,2010-12-20,9,0.030470826569661935,-0.031815127041480706
NFLX,2010-12-17,2010–2014,2010,2010-12-08,2010-12-20,9,-0.011556254792457255,-0.08096022646434897
NFX,2010-12-17,2010–2014,2010,2010-12-08,2010-12-20,9,-0.013720202742459553,-0.02250343112744313
CB,2010-07-14,2010–2014,2010,2010-07-02,2010-07-15,9,-0.015432119042100734,0.007264928457795361
