era,era_lo,n,car_eff_mean,car_eff_median,car_eff_se,car_eff_t,car_eff_p,car_wide_mean,car_wide_se,car_wide_t,car_wide_p
2005–2009,2005,18,0.015769849300971195,0.006749306978825365,0.010073578372819391,1.5654664824489306,0.13589733306114654,0.07927951368990525,0.018923255810678274,4.189528191294033,0.0006153759796088159
2010–2014,2010,51,0.0011120024559809955,-0.0018130719121136618,0.005294010506138781,0.2100491592699995,0.8344829014727895,0.003334538088530104,0.008489226366143738,0.39279646280004077,0.6961394921639974
2015–2019,2015,101,-0.0010212217818543427,0.0009850906890256361,0.0033938492619581136,-0.30090369460461514,0.7641126745865217,0.00039097672047418196,0.005617002923542013,0.06960593145421345,0.9446463179463767
2020–present,2020,100,-0.0006885742269688499,-0.0018298397957338675,0.0056457598050147825,-0.12196307507755318,0.9031754879573198,0.026896369107091464,0.00983720905869042,2.7341463362853493,0.0074104733932266855
