ticker,reason
Q,"could not fill fixed-length windows around 2025-11-03"
AMTM,"could not fill fixed-length windows around 2024-09-30"
GEV,"could not fill fixed-length windows around 2024-04-02"
SOLV,"could not fill fixed-length windows around 2024-04-01"
VLTO,"could not fill fixed-length windows around 2023-10-02"
MBC,"could not fill fixed-length windows around 2022-12-15"
SBNY,"could not fill fixed-length windows around 2021-12-20"
CDAY,"no/insufficient price data for index event"
TSLA,"excluded from all aggregates (non-matched 27-day window); anecdote only"
CTLT,"no/insufficient price data for index event"
CTVA,"could not fill fixed-length windows around 2019-06-03"
FOXA,"could not fill fixed-length windows around 2019-03-19"
FOX,"could not fill fixed-length windows around 2019-03-19"
FRC,"no/insufficient price data for index event"
MXIM,"no/insufficient price data for index event"
WCG,"no/insufficient price data for index event"
FLT,"no/insufficient price data for index event"
HFC,"no/insufficient price data for index event"
TWTR,"no/insufficient price data for index event"
ABMD,"no/insufficient price data for index event"
SIVB,"no/insufficient price data for index event"
DWDP,"no/insufficient price data for index event"
Q,"could not fill fixed-length windows around 2017-08-29"
DRE,"no/insufficient price data for index event"
ANSS,"no/insufficient price data for index event"
RE,"no/insufficient price data for index event"
INFO,"could not fill fixed-length windows around 2017-06-02"
DISH,"no/insufficient price data for index event"
ARNC,"no/insufficient price data for index event"
FTV,"could not fill fixed-length windows around 2016-07-05"
FBHS,"no/insufficient price data for index event"
FL,"no/insufficient price data for index event"
CXO,"no/insufficient price data for index event"
WLTW,"no/insufficient price data for index event"
CMCSK,"no/insufficient price data for index event"
FOX,"could not fill fixed-length windows around 2015-09-18"
ATVI,"no/insufficient price data for index event"
KHC,"could not fill fixed-length windows around 2015-07-06"
CPGX,"no/insufficient price data for index event"
BXLT,"no/insufficient price data for index event"
HBI,"no/insufficient price data for index event"
ENDP,"no/insufficient price data for index event"
LVLT,"no/insufficient price data for index event"
MNK,"no/insufficient price data for index event"
DISCK,"no/insufficient price data for index event"
XEC,"no/insufficient price data for index event"
UA,"could not fill fixed-length windows around 2014-05-01"
GMCR,"no/insufficient price data for index event"
ADS,"no/insufficient price data for index event"
FB,"could not fill fixed-length windows around 2013-12-23"
GGP,"no/insufficient price data for index event"
KORS,"no/insufficient price data for index event"
NLSN,"no/insufficient price data for index event"
KSU,"no/insufficient price data for index event"
ABBV,"could not fill fixed-length windows around 2013-01-02"
DLPH,"no/insufficient price data for index event"
PETM,"no/insufficient price data for index event"
KRFT,"no/insufficient price data for index event"
ADT,"could not fill fixed-length windows around 2012-10-01"
ESV,"no/insufficient price data for index event"
ALXN,"no/insufficient price data for index event"
PSX,"could not fill fixed-length windows around 2012-04-23"
WPX,"no/insufficient price data for index event"
GAS,"no/insufficient price data for index event"
MPC,"could not fill fixed-length windows around 2011-06-30"
ANR,"no/insufficient price data for index event"
COV,"no/insufficient price data for index event"
JOYG,"no/insufficient price data for index event"
MMI,"could not fill fixed-length windows around 2011-01-03"
CVC,"no/insufficient price data for index event"
IR,"could not fill fixed-length windows around 2010-11-17"
TYC,"no/insufficient price data for index event"
QEP,"no/insufficient price data for index event"
CERN,"no/insufficient price data for index event"
MJN,"no/insufficient price data for index event"
SAI,"no/insufficient price data for index event"
PCLN,"could not fill fixed-length windows around 2009-11-03"
ARG,"no/insufficient price data for index event"
PCS,"could not fill fixed-length windows around 2009-06-29"
HRS,"no/insufficient price data for index event"
AKS,"no/insufficient price data for index event"
COG,"no/insufficient price data for index event"
LO,"no/insufficient price data for index event"
JEC,"no/insufficient price data for index event"
TDC,"could not fill fixed-length windows around 2007-10-01"
TSO,"no/insufficient price data for index event"
LUK,"no/insufficient price data for index event"
DFS,"no/insufficient price data for index event"
KFT,"no/insufficient price data for index event"
JNPR,"no/insufficient price data for index event"
