ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason
AL,AL,Air Lease Corp,2011-04-18,2011-04-19,2011,26.5,1.0,95676169.0,,101582000.0,,2.691923,2.5354184785,2.61367073925,auto:ritter+yf,high,ticker+date,drop,~$2.6B at listing (well below $5B)
FELP,FELP,Foresight Energy LP,2014-06-18,nan,2014,20.0,1.0,129478000.0,,,,,2.58956,2.58956,ritter-anchor,med,ticker+date,drop,~$2.6B at listing (well below $5B)
NMRA,NMRA,"Neumora Therapeutics, Inc.",2023-09-15,2023-09-14,2023,17.0,1.0,,152703316.0,151948992.0,2.595956372,2.583132864,,2.5895446179999997,auto:edgar+yf,high,ticker+date,drop,~$2.6B at listing (well below $5B)
HNGE,HNGE,"Hinge Health, Inc.",2025-05-22,nan,2025,32.0,1.0,80597784.0,,,,,2.579129088,2.579129088,ritter-anchor,med,ticker+date,drop,~$2.6B at listing (well below $5B)
CMTG,CMTG,Claros Mortgage Trust Inc,2021-11-03,2021-11-03,2021,18.65,1.0,,133433487.0,141531008.0,2.4885345325499997,2.6395532991999997,,2.5640439158749997,auto:edgar+yf,high,ticker+date,drop,~$2.6B at listing (well below $5B)
EE,EE,Excelerate Energy Inc,2022-04-13,2022-04-13,2022,24.0,1.0,105875556.0,,24377800.0,,0.5850672,2.541013344,2.541013344,ritter-anchor,med,ticker+date,drop,~$2.5B at listing (well below $5B)
NOW,NOW,ServiceNow Inc,2012-06-28,2012-06-29,2012,18.0,1.0,,123201916.0,159000000.0,2.217634488,2.862,,2.539817244,auto:edgar+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
ALKT,ALKT,Alkami Technology Inc,2021-04-14,2021-04-14,2021,30.0,1.0,,85936693.0,83135400.0,2.57810079,2.494062,,2.536081395,auto:edgar+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
ESTC,ESTC,Elastic NV,2018-10-05,2018-10-05,2018,36.0,1.0,,70973965.0,69492704.0,2.55506274,2.501737344,,2.528400042,auto:edgar+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
PBF,PBF,PBF Energy Inc,2012-12-12,2012-12-13,2012,26.0,1.0,96540000.0,,97616000.0,,2.538016,2.51004,2.524028,auto:ritter+yf,high,ticker+date,drop,~$2.5B at listing (well below $5B)
